statistic,statistic_label,tlist(a1),year,c02339v02812,county,c03346v04033,dwelling_status,c03341v04028,stamp_duty_event,c03344v04031,type_of_buyer,c03342v04029,type_of_sale,unit,value
HPA02C01,Volume Of Sales,2010,2010,18,Waterford,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,307.0
HPA02C01,Volume Of Sales,2010,2010,18,Waterford,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,299.0
HPA02C01,Volume Of Sales,2010,2010,19,Galway,01,New,1,Filings,-,All Buyer Types,01,Market,Number,286.0
HPA02C01,Volume Of Sales,2010,2010,19,Galway,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,286.0
HPA02C01,Volume Of Sales,2010,2010,19,Galway,01,New,2,Executions,-,All Buyer Types,01,Market,Number,254.0
HPA02C01,Volume Of Sales,2010,2010,19,Galway,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,246.0
HPA02C01,Volume Of Sales,2010,2010,19,Galway,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,590.0
HPA02C01,Volume Of Sales,2010,2010,19,Galway,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,570.0
HPA02C01,Volume Of Sales,2010,2010,19,Galway,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,574.0
HPA02C01,Volume Of Sales,2010,2010,19,Galway,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,552.0
HPA02C01,Volume Of Sales,2010,2010,20,Leitrim,01,New,1,Filings,-,All Buyer Types,01,Market,Number,82.0
HPA02C01,Volume Of Sales,2010,2010,20,Leitrim,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,81.0
HPA02C01,Volume Of Sales,2010,2010,20,Leitrim,01,New,2,Executions,-,All Buyer Types,01,Market,Number,55.0
HPA02C01,Volume Of Sales,2010,2010,20,Leitrim,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,54.0
HPA02C01,Volume Of Sales,2010,2010,20,Leitrim,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,64.0
HPA02C01,Volume Of Sales,2010,2010,20,Leitrim,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,63.0
HPA02C01,Volume Of Sales,2010,2010,20,Leitrim,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,62.0
HPA02C01,Volume Of Sales,2010,2010,20,Leitrim,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,62.0
HPA02C01,Volume Of Sales,2010,2010,21,Mayo,01,New,1,Filings,-,All Buyer Types,01,Market,Number,145.0
HPA02C01,Volume Of Sales,2010,2010,21,Mayo,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,144.0
HPA02C01,Volume Of Sales,2010,2010,21,Mayo,01,New,2,Executions,-,All Buyer Types,01,Market,Number,79.0
HPA02C01,Volume Of Sales,2010,2010,21,Mayo,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,79.0
HPA02C01,Volume Of Sales,2010,2010,21,Mayo,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,275.0
HPA02C01,Volume Of Sales,2010,2010,21,Mayo,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,272.0
HPA02C01,Volume Of Sales,2010,2010,21,Mayo,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,264.0
HPA02C01,Volume Of Sales,2010,2010,21,Mayo,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,254.0
HPA02C01,Volume Of Sales,2010,2010,22,Roscommon,01,New,1,Filings,-,All Buyer Types,01,Market,Number,103.0
HPA02C01,Volume Of Sales,2010,2010,22,Roscommon,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,98.0
HPA02C01,Volume Of Sales,2010,2010,22,Roscommon,01,New,2,Executions,-,All Buyer Types,01,Market,Number,87.0
HPA02C01,Volume Of Sales,2010,2010,22,Roscommon,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,85.0
HPA02C01,Volume Of Sales,2010,2010,22,Roscommon,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,137.0
HPA02C01,Volume Of Sales,2010,2010,22,Roscommon,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,134.0
HPA02C01,Volume Of Sales,2010,2010,22,Roscommon,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,138.0
HPA02C01,Volume Of Sales,2010,2010,22,Roscommon,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,134.0
HPA02C01,Volume Of Sales,2010,2010,23,Sligo,01,New,1,Filings,-,All Buyer Types,01,Market,Number,128.0
HPA02C01,Volume Of Sales,2010,2010,23,Sligo,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,125.0
HPA02C01,Volume Of Sales,2010,2010,23,Sligo,01,New,2,Executions,-,All Buyer Types,01,Market,Number,110.0
HPA02C01,Volume Of Sales,2010,2010,23,Sligo,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,108.0
HPA02C01,Volume Of Sales,2010,2010,23,Sligo,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,162.0
HPA02C01,Volume Of Sales,2010,2010,23,Sligo,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,159.0
HPA02C01,Volume Of Sales,2010,2010,23,Sligo,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,163.0
HPA02C01,Volume Of Sales,2010,2010,23,Sligo,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,159.0
HPA02C01,Volume Of Sales,2010,2010,24,Cavan,01,New,1,Filings,-,All Buyer Types,01,Market,Number,202.0
HPA02C01,Volume Of Sales,2010,2010,24,Cavan,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,201.0
HPA02C01,Volume Of Sales,2010,2010,24,Cavan,01,New,2,Executions,-,All Buyer Types,01,Market,Number,149.0
HPA02C01,Volume Of Sales,2010,2010,24,Cavan,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,149.0
HPA02C01,Volume Of Sales,2010,2010,24,Cavan,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,114.0
HPA02C01,Volume Of Sales,2010,2010,24,Cavan,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,111.0
HPA02C01,Volume Of Sales,2010,2010,24,Cavan,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,101.0
HPA02C01,Volume Of Sales,2010,2010,24,Cavan,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,99.0
HPA02C01,Volume Of Sales,2010,2010,25,Donegal,01,New,1,Filings,-,All Buyer Types,01,Market,Number,208.0
HPA02C01,Volume Of Sales,2010,2010,25,Donegal,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,201.0
HPA02C01,Volume Of Sales,2010,2010,25,Donegal,01,New,2,Executions,-,All Buyer Types,01,Market,Number,183.0
HPA02C01,Volume Of Sales,2010,2010,25,Donegal,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,175.0
HPA02C01,Volume Of Sales,2010,2010,25,Donegal,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,366.0
HPA02C01,Volume Of Sales,2010,2010,25,Donegal,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,356.0
HPA02C01,Volume Of Sales,2010,2010,25,Donegal,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,335.0
HPA02C01,Volume Of Sales,2010,2010,25,Donegal,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,330.0
HPA02C01,Volume Of Sales,2010,2010,26,Monaghan,01,New,1,Filings,-,All Buyer Types,01,Market,Number,76.0
HPA02C01,Volume Of Sales,2010,2010,26,Monaghan,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,76.0
HPA02C01,Volume Of Sales,2010,2010,26,Monaghan,01,New,2,Executions,-,All Buyer Types,01,Market,Number,70.0
HPA02C01,Volume Of Sales,2010,2010,26,Monaghan,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,64.0
HPA02C01,Volume Of Sales,2010,2010,26,Monaghan,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,93.0
HPA02C01,Volume Of Sales,2010,2010,26,Monaghan,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,92.0
HPA02C01,Volume Of Sales,2010,2010,26,Monaghan,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,77.0
HPA02C01,Volume Of Sales,2010,2010,26,Monaghan,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,76.0
